created_at,tweet_id,query,coordinates,coordinates_type,country_code,place_full_name,retweet_count,text,in_reply_to_status_id_str,is_quote_status,tweet_favorite_count,user_description,user_fovourites_count,followers_count,friends_count,user_profile_location,time_zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 21:23:56 +0000 2016,7.81E+17,soylent,,,,,0,"Me: ""Are these your Soylent?"" Him: ""No, thought there were yours."" Me: ""Do I look like I drink that?"" Him: ""Do I?"" Me: ""Yes."" #SiliconValley",,FALSE,11,The secret of change is to focus all of your energy not on fighting the old but on building the new. Now: @GetAtipica @ProjectInclude Past @Twitter #gratitude,,282393,2150,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 20:33:06 +0000 2016,7.81E+17,soylent,,,,,0,@Scott_Holpainen @soylent disturbing.  Eat solid food young man.  :),7.81E+17,FALSE,1,"Love adventure, basketball, and helping people solve problems. #datasecurity Evangelist of @Dataguise. Views are my own \u270c\U0001f3fb\ufe0f",,462,930,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 20:00:02 +0000 2016,7.81E+17,soylent,,,,,0,Soylent Green is people!,,FALSE,0,Every time the same bad decision.. | 25 years old | Follow me I'll follow back just ask.,,605,389,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 18:42:38 +0000 2016,7.81E+17,soylent,,,,,0,Only 6 years now till @soylent is releasing Soylent Green https://t.co/OdgZg2M3ZO,,FALSE,0,Founder of labor-market startup https://t.co/2rfJLE3llz (YC W16),,1781,394,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 14:38:30 +0000 2016,7.81E+17,soylent,,,,,0,@paulbensonsucks i just woke up but i'm thinkin of hittin up this coffiest soylent,7.81E+17,FALSE,1,iOS at twitter\u30fbDDR(5140-9091)\u30fbhappy hardcore\u30fb\u65e5\u672c\u8a9eOK,,333,352,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 05:54:01 +0000 2016,7.81E+17,soylent,,,,,0,Soylent Green is people!,,FALSE,0,Every time the same bad decision.. | 25 years old | Follow me I'll follow back just ask.,,605,389,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 04:34:09 +0000 2016,7.81E+17,soylent,,,,,0,"""Rory, why do you like heavy metals? You want to play with mercury, and taste lead, and all you eat is soylent...""",,FALSE,2,great emperor of the galactic empire (ve/they/he),,191,201,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 02:36:05 +0000 2016,7.81E+17,soylent,,,,,2,RT @ewittman: Thanks to the folks over @tryopentest I'm now officially a @soylent coffiest #cheeriossmell https://t.co/GIfk1qvRBs,,FALSE,0,"founder @tryopentest. previously @upfrontvc, @weebly, & EIR @nfxguild. I tweet sometimes.",,31732,545,"san francisco, ca",Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 02:34:53 +0000 2016,7.81E+17,soylent,,,,,2,RT @ewittman: Thanks to the folks over @tryopentest I'm now officially a @soylent coffiest #cheeriossmell https://t.co/GIfk1qvRBs,,FALSE,0,devastating lows and incredible highs. founder @tryopentest. learned how to hack @place. learned how to architect @upthere. learned how to intern @facebook.,,432,209,Bay Area,Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep 27 23:37:58 +0000 2016,7.81E+17,soylent,,,,,2,Thanks to the folks over @tryopentest I'm now officially a @soylent coffiest #cheeriossmell https://t.co/GIfk1qvRBs,,FALSE,4,passionate builder of new businesses . alum of macromedia / adobe / songbird / atlassian . board member and advisor . devoted family man,,418,343,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
